,content,id,lat,location,lon,time,user,user_id
1251,"@tungro MY STORM SHALL WREAK HAVOC IN MY NAME!!!

Have a safe flight! 💜",971523337011826688,,"Boston, MA",,2018-03-07 23:09:48,BOSTrophyWife,788029031010725888
1252,"This week's cask is Float Like A Butterfly! This is a strong oak aged lager, conditioned on maple syrup. Drink away… https://t.co/fH02VrLwj6",971523314454794240,,"Cambridge, MA",,2018-03-07 23:09:42,CamBrewingCo,53116474
1253,"Tonight’s specials are definitely worth braving the storm for - Radiator Pasta with Razor Clams, Tomato Brodo, Roas… https://t.co/7NwzlZhn4Q",971523046325571584,,"Boston, MA",,2018-03-07 23:08:38,OstraBoston,1676482562
1254,"@TopGoon218 @BostonTweet @7News @MattNBCBoston @growingwisdom Live look at me vs the failing mainstream  ""weather m… https://t.co/iHta1Fcqfi",971522976322596864,,"Boston, MA",,2018-03-07 23:08:22,danieljlavoie,770112175
126,Do you know someone who doesn't have power and hasn't had it since last week’s winter storm? We'd like to hear from you. #comment,971773934390710272,,"Boston, MA",,2018-03-08 15:45:35,BostonGlobe,95431448
1261,@Dean_Rage @petedoom @jreineron7 @vicdibitetto Bomb Cyclone isn't a storm classification but a meteorological super… https://t.co/0U53if0x1n,971522399400275968,,"Boston, MA",,2018-03-07 23:06:04,DeanHantzis,23100283
1265,Got in a cold rainy run before Winter Storm Quinn officially smashed the northeast. This is the gear I wear for... https://t.co/JPTEThmx86,971522012286894080,,"Boston, MA",,2018-03-07 23:04:32,jonathanronzio,143342537
1267,STORM FORCE COVERAGE: #7News has you covered with a check on the latest forecast and conditions across the state as… https://t.co/TzxyeGOnMO,971521771622031360,,"Boston, MA",,2018-03-07 23:03:35,7News,16558796
1269,"Made myself a double cocktail, ordered sushi, and have a pint of ice cream in the fridge. Ready to ride out this storm!  #living",971521522773962752,,"Boston, MA",,2018-03-07 23:02:35,K_Merriken,112321590
1270,I highly recommend following @scottzolak’s storm coverage #MAsnow,971521214463266816,,"Boston, MA",,2018-03-07 23:01:22,DicDonohue,2168707118
1272,"welp i gotta work tomorrow, fuck this fake ass “snow storm”",971520791857827840,,"Boston, MA",,2018-03-07 22:59:41,stephcakes,17959809
1273,RT @inarliswetrust: How about y'all just wash your ass https://t.co/hAFLXxz90o,971520686941405184,,,,2018-03-07 22:59:16,Briana_storm,627619631
1277,@WCVB the storm displaced all of these turkeys!!!! look at them in my neighbors trees!!!!,971519751016067072,,"Boston, MA",,2018-03-07 22:55:33,jenniferywood,785937320369278976
1278,"There is NO School tomorrow, Thursday March 8th due to the impending snow storm. Be safe and warm! #ebccs #snowday",971519503904460800,,"Boston, MA",,2018-03-07 22:54:34,EBCCSNews,2575741964
1279,"RT @boston25: What a TOUGH stretch.

A look at the flooded scene in #Marshfield RIGHT NOW as another winter storm moves in.

Watch for the…",971519229857067008,,,,2018-03-07 22:53:29,JonjonUzumaki2,2862776861
128,SNOW MAN: We MADE a friend during our storm coverage in @AndoverMaGov last night. He's SO CHILL! @NBC10Boston https://t.co/n9pd9FFSK7,971773729519951872,,"Boston, MA",,2018-03-08 15:44:46,EliNBCBoston,2611766492
1282,@growingwisdom It seems like every meteorologist has a different amount for this storm and I agree with you Dave we… https://t.co/aOczIzuccD,971518869247614976,,"Boston, MA",,2018-03-07 22:52:03,sflouis,306490322
1286,"#Boston is expecting 4 to 8 inches of heavy, wet snow, with most snow accumulating after 8pm tonight &amp; ending aroun… https://t.co/ExaXCmgD5f",971518599385894912,,"Boston, MA",,2018-03-07 22:50:58,CityOfBoston,124455872
1287,Watching  a Perfect Storm just because,971518569807794176,,"Boston, MA",,2018-03-07 22:50:51,Wasabiboys,449206065
1288,This “snow storm “ is just like when they try to make ice cream on chopped,971518560668352512,,,,2018-03-07 22:50:49,smelen96,466054875
129,It’s definitely winter wonderland but this better be the last storm. Period. My body can’t take… https://t.co/BKUvvBbFS1,971772881247047680,,"Boston, MA",,2018-03-08 15:41:24,djpatfontes,17609903
